latency,cdf
7.4640,1.740319379565516e-07
7.4850,8.307735143504858e-06
7.5100,9.349178898539591e-05
7.5140,0.00011059271678354758
7.5300,0.0002098275597215097
7.5320,0.0002265529449167025
7.5360,0.0002649224074482812
7.5420,0.0005959403130173243
7.5470,0.0012813788400227255
7.5520,0.002340271586731523
7.5540,0.0027774489744540626
7.5610,0.009377710976788783
7.5620,0.011401436787528703
7.5710,0.03973913968117514
7.5810,0.12512321117723235
7.5940,0.2702172833627308
7.5990,0.34132570733930145
7.6040,0.40697981466752714
7.6150,0.4922938886862231
7.6160,0.5015104002905857
7.6170,0.5115650771868742
7.6340,0.6598293426329161
7.6430,0.7398534502697279
7.6490,0.7708234137036943
7.6620,0.836986445375959
7.6690,0.8579339186625833
7.6740,0.8699238123897971
7.7010,0.9184348670313099
7.7220,0.9367716047804668
7.7260,0.9392023454962087
7.7370,0.944611267287474
7.7410,0.9472843245778811
7.7610,0.9554671047899332
7.7620,0.9558776736102997
7.7760,0.9596865824022953
7.7810,0.9614194916851341
7.7880,0.963026988057736
7.7980,0.9650460241657268
7.8110,0.9675968377590831
7.8140,0.9680370744450834
7.8270,0.9703527434115332
7.8290,0.9705912404431392
7.8310,0.9708225746865619
7.8360,0.9714410750344837
7.8430,0.9724749071821268
7.8540,0.973424416276042
7.8670,0.9746443526823905
7.8720,0.9749669071400294
7.8740,0.9750978341148268
7.8880,0.9762388058192213
7.9080,0.977745436944414
7.9170,0.9783686086759336
7.9180,0.9784667626889411
7.9200,0.9786950193149346
7.9440,0.9807375314153982
7.9520,0.9812802545937035
7.9580,0.9817542717948188
7.9630,0.9822586255105925
7.9640,0.9823378924785439
7.9880,0.9839425768614115
7.9940,0.9842391730815678
8.0000,0.9846346102829079
8.0030,0.9848177926369707
8.0040,0.9848694709629681
8.0080,0.9850270065051215
8.0240,0.9857145608941095
8.0250,0.9857478925900159
8.0300,0.9858874845234085
8.0320,0.9859397490622495
8.0330,0.9859663851083326
8.0420,0.9862632469561837
8.0490,0.986413326603732
8.0770,0.9868921342629289
8.0950,0.9870893490869364
8.1080,0.9872012149847398
8.1090,0.9872073244217195
8.1290,0.987327049235458
8.1390,0.9873746698694283
8.1470,0.987411280693429
8.1620,0.9874697920628851
8.1660,0.9874835497455594
8.1850,0.9875446715940849
8.2000,0.9875835265141275
8.2020,0.9875892054510503
8.2250,0.9876411585643182
8.2260,0.9876429446815762
8.2300,0.987649658650551
8.2420,0.9876729514515101
8.2570,0.987695822911988
8.2640,0.9877078952327367
8.2650,0.9877090768179997
8.2670,0.98771143082895
8.2800,0.9877293469589837
8.2910,0.9877425275883901
8.3080,0.987761909250533
8.3090,0.9877628435272525
8.3120,0.9877657562723194
8.3170,0.9877710138687609
8.3210,0.9877761523907184
8.3320,0.9877862554026956
8.3440,0.9877987582235014
8.3480,0.9878019457558387
8.3600,0.987812479267873
8.3620,0.9878146226085824
8.3630,0.9878156576406345
8.3750,0.9878251378014653
8.3820,0.9878320074832267
8.3960,0.9878426051122907
8.4040,0.9878500335281688
8.4330,0.987871741722535
8.4530,0.9878866443521694
8.4560,0.9878887510545763
8.4580,0.9878906562463181
8.4630,0.9878945582255586
8.4710,0.987899385321943
8.4810,0.9879062275249774
8.4820,0.9879070244080618
8.4840,0.9879084258231411
8.4870,0.987910239419126
8.4930,0.9879136834195825
8.4960,0.9879153138240538
8.4980,0.9879166786008304
8.5070,0.9879227605590832
8.5090,0.9879238139102867
8.5200,0.987930399645202
8.5210,0.9879310682942268
8.5250,0.9879332574328148
8.5540,0.9879488470306254
8.5550,0.9879493416477122
8.5660,0.987955826627295
8.5690,0.9879570540104364
8.5810,0.9879632458835974
8.5880,0.9879668822351431
8.5940,0.9879695293525151
8.6000,0.9879727352040039
8.6020,0.987973852672237
8.6040,0.9879749243425918
8.6120,0.987978203470686
8.6140,0.9879789728750432
8.6240,0.9879842487906361
8.6270,0.9879853662588692
8.6320,0.9879872622910354
8.6370,0.9879895521849559
8.6450,0.9879936556748614
8.6460,0.9879941502919481
8.6470,0.9879944617175214
8.6580,0.987999050664938
8.6610,0.9880006719098338
8.6700,0.988004060952836
8.6750,0.9880062500914241
8.6760,0.9880067263893595
8.6960,0.9880152539543193
8.7090,0.9880206031465176
8.7120,0.9880215007849344
8.7140,0.9880222243914133
8.7170,0.9880237723597035
8.7220,0.9880261721685322
8.7260,0.9880277750942765
8.7390,0.9880327762225989
8.7400,0.9880331792439289
8.7440,0.9880347088930678
8.7540,0.9880380063403132
8.7550,0.9880383269254621
8.7570,0.9880391696064248
8.7620,0.9880415785748292
8.7770,0.9880467812138165
8.7850,0.9880499870653052
8.7900,0.9880515441931711
8.8040,0.9880572597683966
8.8160,0.9880607129284288
8.8290,0.9880653934716022
8.8330,0.9880665384185624
8.8490,0.9880720982810014
8.8560,0.988074241621711
8.8580,0.9880750110260682
8.8640,0.9880776764625917
8.8850,0.9880845095060504
