latency,cdf
7.3930,1.7601368724675317e-08
7.3960,2.6402053087012972e-08
7.4010,4.4003421811688286e-08
7.4160,7.920615926103893e-08
7.4460,1.7601368724675314e-07
7.4510,1.848143716090908e-07
7.4630,2.1121642469610378e-07
7.4660,2.288177934207791e-07
7.4690,2.5521984650779207e-07
7.4910,4.136321650298699e-07
7.4950,4.3123353375454524e-07
7.5000,4.752369555662335e-07
7.5070,5.720444835519477e-07
7.5130,7.304568020740256e-07
7.5220,1.0120787016688307e-06
7.5290,1.3553053917999993e-06
7.5310,1.4785149728727264e-06
7.5530,3.731490169631167e-06
7.5580,4.73476818693766e-06
7.5660,6.996544068058438e-06
7.5670,7.260564598928568e-06
7.5770,1.025279728212337e-05
7.5910,1.5189981209394798e-05
7.5980,1.7302145456355834e-05
7.6030,2.006556034612986e-05
7.6250,3.964708305233115e-05
7.6260,4.087037817869608e-05
7.6270,4.2296089045394786e-05
7.6450,6.771246548382594e-05
7.6670,0.00012566497200981942
7.6770,0.00017201817654625187
7.6920,0.0005914411918865399
7.6930,0.0006377415923167984
7.6980,0.0011840352734245462
7.7070,0.0031841404063999387
7.7090,0.0037961928010630734
7.7260,0.013127109595547214
7.7270,0.013616454048146273
7.7470,0.026255873719754547
7.7510,0.028126846411081357
7.7630,0.034971226646514975
7.7770,0.04093878589824453
7.7880,0.04589892201033294
7.7990,0.049135461691426234
7.8070,0.05477371693568584
7.8120,0.05964853921356574
7.8220,0.08983200875259742
7.8310,0.1386338717025849
7.8900,0.6646014834063932
7.8920,0.6746201560824253
7.8930,0.6798463632848403
7.9090,0.7707366895347463
7.9190,0.8048013576850969
7.9340,0.8403493547826664
7.9390,0.8509265716924386
7.9450,0.8609179710476318
7.9480,0.8639053985571647
7.9580,0.8755985246427127
7.9660,0.8846938999209232
7.9880,0.901910986762917
7.9950,0.9061370225896054
7.9970,0.907794297063246
8.0020,0.9120696519251008
8.0050,0.9139768130305256
8.0200,0.9228610334888305
8.0220,0.9243832262581936
8.0320,0.9292082718653201
8.0330,0.9296735552468726
8.0470,0.9387418772213533
8.0580,0.9450318671460658
8.0610,0.9477752164754937
8.0630,0.9492851674929087
8.0750,0.955260928982464
8.0770,0.9567839842188944
8.0830,0.9613544172267342
8.0870,0.9632933135999695
8.0950,0.9664283197855745
8.0960,0.9669818036258063
8.1040,0.9717368045860929
8.1120,0.9743747129161757
8.1140,0.9750848841407945
8.1250,0.9799876661928936
8.1430,0.9851524534191438
8.1540,0.9874346732900382
8.1550,0.9876656472511278
8.1650,0.9904372379766745
8.1720,0.9912987633709568
8.1740,0.9915511053936781
8.1780,0.9922296381580143
8.1850,0.9933750296264038
8.1960,0.9944250128756212
8.2040,0.9953955875498373
8.2060,0.9955351312010865
8.2070,0.9955908043303626
8.2130,0.9958868857543648
8.2180,0.9962011141895221
8.2200,0.9963411330777269
8.2220,0.9964705031378532
8.2330,0.9968163084285026
8.2370,0.9969403452739053
8.2380,0.9969739110840633
8.2440,0.9971409392725761
8.2460,0.9971730529698143
8.2510,0.9972359866636893
8.2960,0.9976197405053091
8.2980,0.9976289548218364
8.3030,0.9976512205532732
8.3100,0.9976687691178917
8.3200,0.9976918885157116
8.3350,0.9977131685704996
8.3360,0.9977146206834194
8.3450,0.997726704023049
8.3550,0.9977331725260552
8.3710,0.9977423340384765
8.3800,0.9977468751916074
8.3890,0.9977503074585087
8.3940,0.9977517595714285
8.4090,0.9977570575834146
8.4180,0.9977596801873546
8.4210,0.9977608506783748
8.4250,0.9977619155611827
8.4270,0.9977623819974538
8.4300,0.9977632532652058
8.4340,0.9977642037391169
8.4400,0.9977662366972045
8.4440,0.9977671959718001
8.4500,0.9977684192669264
8.4630,0.997772150757096
8.4640,0.9977724587810487
8.4750,0.9977751341890949
8.4810,0.9977773079581324
8.4840,0.9977782144286217
8.4890,0.9977795169299073
8.4940,0.9977806082147682
8.5040,0.9977838732686667
8.5140,0.9977861614466009
8.5160,0.9977867246904001
8.5390,0.997793087585194
8.5430,0.9977942668768985
8.5500,0.9977955957802374
8.5530,0.9977961854260896
8.5630,0.9977993184697226
8.5650,0.9977999257169435
8.5660,0.9978001633354213
8.5690,0.9978007969846955
8.5770,0.997802557121568
8.5820,0.9978043876639153
8.5910,0.9978064646254248
8.6040,0.9978102665210693
8.6140,0.9978123434825789
8.6150,0.9978125723003722
8.6280,0.9978163565946481
8.6330,0.9978172366630843
8.6370,0.9978181519342579
8.6450,0.997820871345726
8.6500,0.997822085840168
8.6620,0.997825658918019
8.6730,0.9978281495116936
8.6870,0.9978321538230784
8.7000,0.9978350756502867
8.7010,0.9978354716810831
8.7150,0.9978386135254004
8.7290,0.9978426530395227
8.7330,0.9978434010976935
8.7420,0.9978460501036865
8.7450,0.9978467629591199
8.7610,0.9978506704629768
8.7620,0.9978509960882982
8.7710,0.9978530114450171
8.7730,0.9978534338778666
8.7770,0.9978544107538309
8.7780,0.9978547715818896
8.7860,0.9978572005707737
8.7970,0.9978595679548672
8.7980,0.9978597967726606
8.8130,0.9978637130772018
8.8180,0.9978650507812249
8.8210,0.9978661508667701
8.8300,0.9978682806323859
8.8340,0.997869037491241
8.8560,0.99787450271623
8.8640,0.9978771781242761
8.8650,0.997877442144807
8.8770,0.9978801879583281
8.8820,0.9978820185006755
8.8890,0.9978837698368636
8.9080,0.9978885310071036
8.9160,0.9978903791508197
8.9190,0.9978912944219933
8.9200,0.9978916288479991
8.9280,0.9978935297958214
8.9300,0.9978939874314082
8.9330,0.9978945418745231
8.9390,0.9978962228052363
8.9530,0.9978997078762437
8.9590,0.9979014152090101
8.9610,0.997902092861706
8.9660,0.9979034921705195
8.9840,0.997908094928441
8.9880,0.9979090013989304
